TaskID,AltID,Preis,Kraftstoffverbrauch,Antriebsart,Fahrzeugklasse,Marke
1,A1,25'000 CHF,4 l/100km,Hybrid,Mittelklasse,Seat
1,A2,32'000 CHF,6 l/100km,Elektro,Kompaktklasse,Mercedes
1,A3,39'000 CHF,8 l/100km,Benzin,Kleinwagen,Suzuki
2,A1,46'000 CHF,8 l/100km,Benzin,Kompaktklasse,Suzuki
2,A2,25'000 CHF,4 l/100km,Hybrid,Mittelklasse,Mercedes
2,A3,46'000 CHF,6 l/100km,Elektro,Kleinwagen,Seat
3,A1,32'000 CHF,6 l/100km,Benzin,Kompaktklasse,Seat
3,A2,39'000 CHF,4 l/100km,Hybrid,Kleinwagen,Suzuki
3,A3,32'000 CHF,8 l/100km,Elektro,Mittelklasse,Mercedes
4,A1,25'000 CHF,8 l/100km,Elektro,Kompaktklasse,Suzuki
4,A2,39'000 CHF,6 l/100km,Hybrid,Mittelklasse,Mercedes
4,A3,46'000 CHF,4 l/100km,Benzin,Kleinwagen,Seat
5,A1,46'000 CHF,4 l/100km,Benzin,Kleinwagen,Suzuki
5,A2,25'000 CHF,8 l/100km,Hybrid,Kompaktklasse,Mercedes
5,A3,39'000 CHF,6 l/100km,Elektro,Mittelklasse,Seat
6,A1,32'000 CHF,8 l/100km,Benzin,Mittelklasse,Suzuki
6,A2,46'000 CHF,4 l/100km,Hybrid,Kompaktklasse,Seat
6,A3,39'000 CHF,6 l/100km,Elektro,Kleinwagen,Mercedes
7,A1,32'000 CHF,6 l/100km,Benzin,Kleinwagen,Mercedes
7,A2,25'000 CHF,8 l/100km,Elektro,Kompaktklasse,Suzuki
7,A3,46'000 CHF,4 l/100km,Hybrid,Mittelklasse,Seat
8,A1,25'000 CHF,6 l/100km,Benzin,Mittelklasse,Suzuki
8,A2,39'000 CHF,8 l/100km,Elektro,Kleinwagen,Seat
8,A3,32'000 CHF,4 l/100km,Hybrid,Kompaktklasse,Mercedes
9,A1,46'000 CHF,8 l/100km,Benzin,Mittelklasse,Suzuki
9,A2,39'000 CHF,4 l/100km,Hybrid,Kompaktklasse,Seat
9,A3,25'000 CHF,6 l/100km,Elektro,Kleinwagen,Mercedes
10,A1,32'000 CHF,8 l/100km,Benzin,Kompaktklasse,Mercedes
10,A2,46'000 CHF,6 l/100km,Hybrid,Mittelklasse,Seat
10,A3,39'000 CHF,4 l/100km,Elektro,Kleinwagen,Suzuki
11,A1,25'000 CHF,6 l/100km,Elektro,Kompaktklasse,Seat
11,A2,32'000 CHF,8 l/100km,Benzin,Mittelklasse,Mercedes
11,A3,46'000 CHF,4 l/100km,Hybrid,Kleinwagen,Suzuki
12,A1,39'000 CHF,8 l/100km,Elektro,Kompaktklasse,Seat
12,A2,25'000 CHF,4 l/100km,Benzin,Mittelklasse,Suzuki
12,A3,32'000 CHF,6 l/100km,Hybrid,Kleinwagen,Mercedes
