RespondentID,TaskID,AltID,Preis,Kraftstoffverbrauch,Antriebsart,Fahrzeugklasse,Marke,Chosen
OLLAMA_R1,1,A1,46'000 CHF,6 l/100km,Elektro,Kleinwagen,A1,0
OLLAMA_R1,1,A2,25'000 CHF,4 l/100km,Benzin,Mittelklasse,B2,1
OLLAMA_R1,1,A3,39'000 CHF,8 l/100km,Hybrid,Kompaktklasse,C3,0
OLLAMA_R1,2,A1,32'000 CHF,4 l/100km,Benzin,Kompaktklasse,B2,0
OLLAMA_R1,2,A2,39'000 CHF,6 l/100km,Hybrid,Mittelklasse,C3,0
OLLAMA_R1,2,A3,25'000 CHF,8 l/100km,Elektro,Kleinwagen,A1,1
OLLAMA_R1,3,A1,46'000 CHF,4 l/100km,Benzin,Mittelklasse,C3,0
OLLAMA_R1,3,A2,32'000 CHF,6 l/100km,Elektro,Kompaktklasse,B2,1
OLLAMA_R1,3,A3,46'000 CHF,8 l/100km,Hybrid,Kleinwagen,A1,0
OLLAMA_R1,4,A1,32'000 CHF,4 l/100km,Benzin,Kleinwagen,B2,0
OLLAMA_R1,4,A2,39'000 CHF,6 l/100km,Elektro,Kompaktklasse,A1,0
OLLAMA_R1,4,A3,25'000 CHF,8 l/100km,Hybrid,Mittelklasse,C3,1
OLLAMA_R1,5,A1,46'000 CHF,8 l/100km,Elektro,Kompaktklasse,A1,0
OLLAMA_R1,5,A2,32'000 CHF,6 l/100km,Benzin,Mittelklasse,B2,0
OLLAMA_R1,5,A3,25'000 CHF,4 l/100km,Hybrid,Kleinwagen,C3,1
OLLAMA_R1,6,A1,39'000 CHF,8 l/100km,Hybrid,Kompaktklasse,A1,0
OLLAMA_R1,6,A2,25'000 CHF,4 l/100km,Benzin,Kleinwagen,B2,0
OLLAMA_R1,6,A3,32'000 CHF,6 l/100km,Elektro,Mittelklasse,C3,1
OLLAMA_R1,7,A1,39'000 CHF,4 l/100km,Benzin,Kleinwagen,B2,1
OLLAMA_R1,7,A2,46'000 CHF,6 l/100km,Elektro,Mittelklasse,C3,0
OLLAMA_R1,7,A3,39'000 CHF,8 l/100km,Hybrid,Kompaktklasse,A1,0
OLLAMA_R1,8,A1,32'000 CHF,6 l/100km,Elektro,Kompaktklasse,A1,0
OLLAMA_R1,8,A2,25'000 CHF,4 l/100km,Benzin,Kleinwagen,C3,1
OLLAMA_R1,8,A3,46'000 CHF,8 l/100km,Hybrid,Mittelklasse,B2,0
OLLAMA_R1,9,A1,39'000 CHF,6 l/100km,Elektro,Kompaktklasse,C3,0
OLLAMA_R1,9,A2,25'000 CHF,8 l/100km,Hybrid,Mittelklasse,B2,0
OLLAMA_R1,9,A3,32'000 CHF,4 l/100km,Benzin,Kleinwagen,A1,1
OLLAMA_R1,10,A1,46'000 CHF,6 l/100km,Benzin,Mittelklasse,C3,0
OLLAMA_R1,10,A2,32'000 CHF,8 l/100km,Elektro,Kleinwagen,A1,0
OLLAMA_R1,10,A3,39'000 CHF,4 l/100km,Hybrid,Kompaktklasse,B2,1
OLLAMA_R1,11,A1,25'000 CHF,4 l/100km,Benzin,Kleinwagen,B2,0
OLLAMA_R1,11,A2,46'000 CHF,8 l/100km,Hybrid,Mittelklasse,A1,0
OLLAMA_R1,11,A3,46'000 CHF,6 l/100km,Elektro,Kompaktklasse,C3,1
OLLAMA_R1,12,A1,39'000 CHF,4 l/100km,Elektro,Kompaktklasse,A1,1
OLLAMA_R1,12,A2,25'000 CHF,8 l/100km,Benzin,Mittelklasse,C3,0
OLLAMA_R1,12,A3,32'000 CHF,6 l/100km,Hybrid,Kleinwagen,B2,0
