TaskID,AltID,Produkt,Preis,Portion,Genusszeit,Verfügbarkeit
1,A1,Burger,12 CHF,Mittel,Schnell,Stand direkt neben dem Spielfeld
1,A2,Hotdog,15 CHF,Klein,Genussvoll,Im VIP-Bereich
1,A3,Chicken Wrap,6 CHF,Gross,Feierlich,Im Haupteingang
2,A1,Pommes Frites,9 CHF,Klein,Genussvoll,Im VIP-Bereich
2,A2,Pizza Margherita,12 CHF,Gross,Feierlich,Stand direkt neben dem Spielfeld
2,A3,Chicken Wrap,9 CHF,Mittel,Schnell,Im Haupteingang
3,A1,Pizza Margherita,15 CHF,Mittel,Schnell,Im Haupteingang
3,A2,Burger,6 CHF,Klein,Genussvoll,Stand direkt neben dem Spielfeld
3,A3,Pommes Frites,12 CHF,Gross,Feierlich,Im VIP-Bereich
4,A1,Hotdog,15 CHF,Gross,Genussvoll,Stand direkt neben dem Spielfeld
4,A2,Chicken Wrap,9 CHF,Klein,Feierlich,Im VIP-Bereich
4,A3,Hotdog,6 CHF,Mittel,Schnell,Im Haupteingang
5,A1,Pommes Frites,15 CHF,Mittel,Genussvoll,Stand direkt neben dem Spielfeld
5,A2,Burger,6 CHF,Gross,Schnell,Im Haupteingang
5,A3,Pizza Margherita,9 CHF,Klein,Feierlich,Im VIP-Bereich
6,A1,Hotdog,12 CHF,Klein,Schnell,Im VIP-Bereich
6,A2,Burger,12 CHF,Mittel,Genussvoll,Stand direkt neben dem Spielfeld
6,A3,Chicken Wrap,6 CHF,Gross,Feierlich,Im Haupteingang
7,A1,Pizza Margherita,15 CHF,Gross,Schnell,Im VIP-Bereich
7,A2,Pommes Frites,9 CHF,Mittel,Genussvoll,Im Haupteingang
7,A3,Pommes Frites,15 CHF,Klein,Feierlich,Stand direkt neben dem Spielfeld
8,A1,Hotdog,9 CHF,Klein,Schnell,Im Haupteingang
8,A2,Chicken Wrap,6 CHF,Mittel,Feierlich,Im VIP-Bereich
8,A3,Pizza Margherita,12 CHF,Gross,Genussvoll,Stand direkt neben dem Spielfeld
9,A1,Burger,6 CHF,Klein,Feierlich,Im Haupteingang
9,A2,Hotdog,15 CHF,Gross,Schnell,Im VIP-Bereich
9,A3,Pommes Frites,12 CHF,Mittel,Genussvoll,Stand direkt neben dem Spielfeld
10,A1,Pizza Margherita,9 CHF,Gross,Feierlich,Im VIP-Bereich
10,A2,Chicken Wrap,12 CHF,Mittel,Schnell,Stand direkt neben dem Spielfeld
10,A3,Burger,15 CHF,Klein,Genussvoll,Im Haupteingang
11,A1,Burger,6 CHF,Mittel,Genussvoll,Im Haupteingang
11,A2,Pommes Frites,9 CHF,Klein,Schnell,Im VIP-Bereich
11,A3,Hotdog,9 CHF,Gross,Feierlich,Stand direkt neben dem Spielfeld
12,A1,Pizza Margherita,12 CHF,Mittel,Schnell,Im Haupteingang
12,A2,Chicken Wrap,6 CHF,Gross,Feierlich,Stand direkt neben dem Spielfeld
12,A3,Pommes Frites,15 CHF,Klein,Genussvoll,Im VIP-Bereich
