,,,,,,,,,,,
"""too cheap""",,,"""cheap""",,,"""expensive""",,,"""too expensive""",,
Price,Frequency,,Price,Frequency,,Price,Frequency,,Price,Frequency,
39,1,,50,1,,55,1,,56,1,
50,7,,100,1,,150,2,,100,1,
65,1,,120,2,,198,1,,200,1,
78,1,,130,1,,199,2,,239,1,
80,1,,149,1,,200,2,,249,1,
98,1,,150,4,,240,1,,250,1,
99,6,,158,1,,249,3,,260,1,
100,18,,159,1,,250,7,,280,1,
129,1,,170,1,,259,2,,299,4,
149,4,,179,1,,299,11,,300,8,
150,11,,199,4,,300,12,,301,1,
183,1,,200,14,,320,2,,329,1,
190,1,,220,1,,340,1,,340,1,
199,15,,240,1,,349,7,,349,1,
200,16,,249,6,,350,20,,350,7,
233,1,,250,16,,380,3,,360,2,
249,2,,280,1,,390,1,,390,1,
250,5,,289,1,,399,8,,399,4,
266,1,,290,2,,400,17,,400,18,
290,1,,299,13,,449,2,,419,1,
299,7,,300,16,,489,1,,420,2,
300,5,,320,1,,499,1,,449,2,
349,1,,349,3,,500,3,,450,8,
500,1,,350,8,,599,1,,455,1,
,,,360,1,,600,1,,499,9,
,,,365,1,,,,,500,20,
,,,380,1,,,,,550,3,
,,,399,3,,,,,590,1,
,,,400,2,,,,,599,1,
,,,500,1,,,,,600,3,
,,,,,,,,,699,1,
,,,,,,,,,700,1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
