,109,110,112,109,,,,,,,,,,,,,,,100000,100
Price,"""too cheap""","""cheap""","""expensive""","""too expensive""",,"""too cheap""
cumulative","""too cheap""
(%)","""cheap""
cumulative","""cheap""
(%)","""expensive""
cumulated","""expensive""
(%)","""too expensive""
cumulated","""too expensive""
(%)",,"""not cheap""
(%)","""not expensive""
(%)",,"""price ok""",Revenue,Margin
39,1,0,0,0,,109,1,110,1,0,0,0,0,,0,1,,0,0,0
50,7,1,0,0,,108,0.9908256880733946,109,0.990909090909091,0,0,0,0,,0.009090909090909038,1,,0.00917431192660545,45871.559633027246,-45871.559633027246
55,0,0,1,0,,101,0.926605504587156,109,0.990909090909091,1,0.008928571428571428,0,0,,0.009090909090909038,0.9910714285714286,,0.07339449541284404,403669.72477064223,-330275.2293577982
56,0,0,0,1,,101,0.926605504587156,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.06422018348623854,359633.0275229358,-282568.80733944953
65,1,0,0,0,,101,0.926605504587156,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.06422018348623854,417431.19266055047,-224770.64220183488
78,1,0,0,0,,100,0.9174311926605505,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.07339449541284399,572477.0642201831,-161467.88990825677
80,1,0,0,0,,99,0.908256880733945,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.08256880733944955,660550.4587155964,-165137.6146788991
98,1,0,0,0,,98,0.8990825688073395,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.091743119266055,899082.568807339,-18348.623853211
99,6,0,0,0,,97,0.8899082568807339,109,0.990909090909091,1,0.008928571428571428,1,0.009174311926605505,,0.009090909090909038,0.9910714285714286,,0.10091743119266056,999082.5688073395,-10091.743119266055
100,18,1,0,1,,91,0.8348623853211009,108,0.9818181818181818,1,0.008928571428571428,2,0.01834862385321101,,0.018181818181818188,0.9910714285714286,,0.14678899082568808,1467889.9082568807,0
120,0,2,0,0,,73,0.6697247706422018,106,0.9636363636363636,1,0.008928571428571428,2,0.01834862385321101,,0.036363636363636376,0.9910714285714286,,0.3119266055045872,3743119.266055046,623853.2110091744
129,1,0,0,0,,73,0.6697247706422018,106,0.9636363636363636,1,0.008928571428571428,2,0.01834862385321101,,0.036363636363636376,0.9910714285714286,,0.3119266055045872,4023853.2110091746,904587.1559633028
130,0,1,0,0,,72,0.6605504587155964,105,0.9545454545454546,1,0.008928571428571428,2,0.01834862385321101,,0.045454545454545414,0.9910714285714286,,0.3211009174311926,4174311.926605504,963302.7522935779
149,4,1,0,0,,72,0.6605504587155964,104,0.9454545454545454,1,0.008928571428571428,2,0.01834862385321101,,0.054545454545454564,0.9910714285714286,,0.3211009174311926,4784403.66972477,1573394.4954128438
150,11,4,2,0,,68,0.6238532110091743,100,0.9090909090909091,3,0.026785714285714284,2,0.01834862385321101,,0.09090909090909094,0.9732142857142857,,0.35779816513761464,5366972.477064219,1788990.8256880732
158,0,1,0,0,,57,0.5229357798165137,99,0.9,3,0.026785714285714284,2,0.01834862385321101,,0.09999999999999998,0.9732142857142857,,0.45871559633027525,7247706.422018349,2660550.4587155967
159,0,1,0,0,,57,0.5229357798165137,98,0.8909090909090909,3,0.026785714285714284,2,0.01834862385321101,,0.10909090909090913,0.9732142857142857,,0.45871559633027525,7293577.981651377,2706422.018348624
170,0,1,0,0,,57,0.5229357798165137,97,0.8818181818181818,3,0.026785714285714284,2,0.01834862385321101,,0.11818181818181817,0.9732142857142857,,0.45871559633027525,7798165.1376146795,3211009.1743119266
179,0,1,0,0,,57,0.5229357798165137,96,0.8727272727272727,3,0.026785714285714284,2,0.01834862385321101,,0.12727272727272732,0.9732142857142857,,0.45871559633027525,8211009.1743119275,3623853.2110091746
183,1,0,0,0,,57,0.5229357798165137,96,0.8727272727272727,3,0.026785714285714284,2,0.01834862385321101,,0.12727272727272732,0.9732142857142857,,0.45871559633027525,8394495.412844038,3807339.4495412847
190,1,0,0,0,,56,0.5137614678899083,96,0.8727272727272727,3,0.026785714285714284,2,0.01834862385321101,,0.12727272727272732,0.9732142857142857,,0.4678899082568807,8889908.256880734,4211009.174311927
198,0,0,1,0,,55,0.5045871559633027,96,0.8727272727272727,4,0.03571428571428571,2,0.01834862385321101,,0.12727272727272732,0.9642857142857143,,0.47706422018348627,9445871.559633028,4675229.357798166
199,15,4,2,0,,55,0.5045871559633027,92,0.8363636363636363,6,0.05357142857142857,2,0.01834862385321101,,0.1636363636363637,0.9464285714285714,,0.47706422018348627,9493577.981651377,4722935.779816514
200,16,14,2,1,,40,0.3669724770642202,78,0.7090909090909091,8,0.07142857142857142,3,0.027522935779816515,,0.2909090909090909,0.9285714285714286,,0.6055045871559632,12110091.743119264,6055045.871559632
220,0,1,0,0,,24,0.22018348623853212,77,0.7,8,0.07142857142857142,3,0.027522935779816515,,0.30000000000000004,0.9285714285714286,,0.7522935779816513,16550458.71559633,9027522.935779816
233,1,0,0,0,,24,0.22018348623853212,77,0.7,8,0.07142857142857142,3,0.027522935779816515,,0.30000000000000004,0.9285714285714286,,0.7522935779816513,17528440.366972476,10005504.587155962
